review_title,review_text,sentiment
Super!,great cooler excellent air flow and for this price its so amazing and unbelievablejust love it ,positive
Awesome,best budget 2 fit cooler nice cooling,positive
Fair,the quality is good but the power of air is decent,positive
Useless product,very bad product its a only a fan,negative
Fair,ok ok product,Neutral
Awesome,the cooler is really fantastic and provides good air flow highly recommended,Positive
Highly recommended,very good product,Positive
Nice,very nice,positive
Unsatisfactory,very bad cooler,negative
Worth the money,very good,positive
Great product,beautiful product good material and perfectly working,
Mind-blowing purchase,awesome,positive
Highly recommended,good,positive
Brilliant,wonderful product must buy,Positive
Classy product,nice air cooler smart cool breeze producer,Positive
Must buy!,awsm,Positive
Fabulous!,nice product ,positive
Worth every penny,great cooler,positive
Super!,nice product,positive
Great product,good ,positive
Awesome,very nice product ,positive
Worth every penny,good product,Positive
Just wow!,nice product with the reasonable price,positive
Awesome,i like it ,positive
Terrific purchase,very goodd,positive
Excellent,good product,positive
Worth every penny,good product kawaleti,Positive
Terrific,very good cooler amazing beautiful designs affordable price,positive
Awesome,using since 3months great experience,positive
Simply awesome,very good performance and nice look,Positive
Wonderful,product is good having strong thrust of air flow must buy,positive
Terrific,very good ,Positive
Expected a better product,bad quality,Negative
Excellent,very nice product,positive
Terrific purchase,very soundless product and low price other company,positive
Wonderful,nice,positive
Wonderful,the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698,positive
Good quality product,cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok,Positive
Awesome,it is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will i hope create a space problem during off seasons the air supply is very good and its one of the essential part of the air cooler with the wool wood pads which helps to make super cooling afterall thank you maharaja company to make such a product in affordable and reasonable price,positive
Excellent,awesome air cooleri was looking for a cooler under this range and this has fulfilled my requirement this has the following features1 great air through the capacity of 5000 m3hr 2 comes with a large 65litre tank which can run overnight with ease3 great built that is a shockproof and reliable material4 you have to stop this beast at night because it has that massive cooling capabilityone small concern is mine and it is for sure that it is not a dealbreaker that it produces s,positive
Great product,purchased after a lot of discussions and reviews i would say this the best which gives you the comfort needed best to for with no 2nd thoughts nice cooling low noise hope this should be energy efficient and used for a long run,Positive
Highly recommended,very nice cooler cooling is very good there is no noise i reviewed a lot then only i purchased it if you want effective cooling you have to set it up at a window where there is cross ventilation without cross ventilation it will make environment humid lookwise it is very nice and material is strong,positive
Awesome,feedback given after using one week the cooler is amazing its making the whole room cooling you should install the cooler near to your windows the delivery was on time as well the delivery boy also very supportive,Positive
Decent product,great deal 65 l quite big tank sufficient cooling for one medium size room 3 modes works well best in this range,positive
